Feature,Coefficient,Absolute
categorical__id_33_1600x900,-91.26095078135592,91.26095078135592
categorical__DeviceInfo_HTC Desire 510 Build/KOT49H,90.98155218489515,90.98155218489515
categorical__DeviceInfo_SAMSUNG SM-G610M Build/MMB29K,90.42887994145433,90.42887994145433
categorical__DeviceInfo_SAMSUNG SM-G532M Build/MMB29T,90.2072941877675,90.2072941877675
categorical__id_33_1680x1050,-90.03489199576141,90.03489199576141
categorical__id_33_1920x1080,-89.89948157268726,89.89948157268726
categorical__DeviceInfo_SM-J105B Build/LMY47V,89.72805150948928,89.72805150948928
numeric__V229,88.4667603816916,88.4667603816916
numeric__V155,-87.54499655439402,87.54499655439402
categorical__ProductCD_R,87.04587313645523,87.04587313645523
categorical__DeviceInfo_SM-A520F Build/MMB29K,-86.69403176290571,86.69403176290571
categorical__R_emaildomain_yahoo.co.uk,85.96028522985766,85.96028522985766
categorical__DeviceInfo_SM-P600 Build/LMY47X,85.63098391223247,85.63098391223247
categorical__DeviceInfo_SM-J500FN,-85.13570630404254,85.13570630404254
categorical__DeviceInfo_SAMSUNG SM-G930A Build/NRD90M,85.00776785987341,85.00776785987341
categorical__DeviceInfo_SM-A520F Build/NRD90M,84.87997717421658,84.87997717421658
categorical__DeviceInfo_SM-G532M Build/MMB29T,84.69512461982185,84.69512461982185
categorical__id_33_1152x720,-84.52604631100125,84.52604631100125
categorical__DeviceInfo_SM-G920F Build/NRD90M,-84.4238245713543,84.4238245713543
categorical__DeviceInfo_SAMSUNG SM-S727VL Build/MMB29M,84.39231503897167,84.39231503897167
categorical__id_33_3360x1890,-84.08049945378345,84.08049945378345
categorical__id_33_3201x1800,-83.91137799856772,83.91137799856772
categorical__DeviceInfo_SAMSUNG SM-N950U Build/NMF26X,83.79781915359528,83.79781915359528
categorical__id_33_1536x864,-83.46789106761516,83.46789106761516
categorical__id_30_Mac,83.29402179933548,83.29402179933548
categorical__DeviceInfo_XT1565,-83.21497799415599,83.21497799415599
categorical__DeviceInfo_Lenovo K33b36 Build/MMB29M,83.07061462909121,83.07061462909121
categorical__DeviceInfo_LGLS751,83.0357265203797,83.0357265203797
categorical__DeviceInfo_5054N,82.78391806372711,82.78391806372711
categorical__DeviceInfo_Z983 Build/NMF26F,82.4790018426208,82.4790018426208
categorical__DeviceInfo_Android 6.0.1,-82.00313650503678,82.00313650503678
categorical__id_33_2436x1125,-81.99189688907488,81.99189688907488
categorical__DeviceInfo_SM-G900F Build/MMB29M,-81.79307463348044,81.79307463348044
categorical__id_30_Mac OS X 10_12_3,81.70205682309769,81.70205682309769
categorical__id_33_2562x1442,-81.60868799837924,81.60868799837924
categorical__id_33_4096x2304,-81.3928096352907,81.3928096352907
categorical__DeviceInfo_SM-A300H Build/LRX22G,-80.96621572171739,80.96621572171739
categorical__id_30_Mac OS X 10_13_2,80.74151311784296,80.74151311784296
categorical__id_33_2400x1350,-80.6871739914804,80.6871739914804
categorical__DeviceInfo_LGMS210 Build/NRD90U,80.26559257564489,80.26559257564489
categorical__DeviceInfo_KFTBWI Build/LVY48F,80.02368718290536,80.02368718290536
categorical__DeviceInfo_SAMSUNG-SM-T677A,79.90405118955807,79.90405118955807
categorical__DeviceInfo_KFTHWI Build/KTU84M,79.89031540644893,79.89031540644893
categorical__id_33_2880x1800,-79.78635980281774,79.78635980281774
