Feature,Importance
categorical__DeviceInfo_XT1635-01 Build/NDNS26.118-23-12-3,0.0002925155712876331
categorical__M6_T,0.0002921670478892233
numeric__id_32,0.000287323903462316
categorical__DeviceInfo_HUAWEI Y520-U03 Build/HUAWEIY520-U03,0.0002799613984669746
categorical__DeviceInfo_SM-G955F Build/NRD90M,0.00027740665889599436
categorical__DeviceInfo_Z983 Build/NMF26F,0.0002680314395542802
numeric__V163,0.00026634306408132287
numeric__V84,0.00026567906937575883
categorical__P_emaildomain_yahoo.com,0.0002573263452705309
categorical__DeviceInfo_Windows NT 6.2,0.0002509494782256831
categorical__DeviceInfo_Redmi Note 4 Build/MMB29M,0.0002501368954955272
categorical__id_33_1920x1200,0.0002498171694133366
categorical__id_31_firefox 48.0,0.00024896990489410234
categorical__id_31_mobile safari 10.0,0.00024773253208693475
numeric__V118,0.00023967037211714625
categorical__DeviceInfo_LGMP260 Build/NRD90U,0.00023743227828682646
categorical__id_33_3840x2160,0.0002351980645109366
categorical__id_30_iOS 10.3.2,0.00023287269538946751
categorical__id_30_Windows 7,0.0002303116898084075
categorical__DeviceInfo_TA-1039 Build/N2G47H,0.00022673825953116314
numeric__V286,0.00022162680099063205
categorical__id_31_chrome generic,0.0002211889178479457
numeric__V323,0.0002156923477399734
categorical__id_30_iOS 10.3.1,0.00020874037982649495
categorical__id_31_chrome 60.0 for android,0.0002030662516255441
numeric__V311,0.00020184702583143788
categorical__DeviceInfo_rv:57.0,0.0002017892803656799
numeric__V121,0.00019789897024295483
numeric__V117,0.0001935200340134805
categorical__card4_discover,0.0001933142767631647
categorical__DeviceInfo_SM-A710M,0.00019007065168932393
categorical__id_15_New,0.00018841164868766883
categorical__id_33_1920x1080,0.00018578203254149888
categorical__P_emaildomain_icloud.com,0.00018407499008854896
categorical__id_31_firefox,0.00018275414358844867
categorical__DeviceInfo_SM-G935F Build/NRD90M,0.00018067810299162793
categorical__DeviceInfo_SM-A720F Build/MMB29K,0.0001767121690363413
categorical__id_33_1280x720,0.00017519557567243063
categorical__id_36_T,0.00017208713276648825
categorical__M3_T,0.00016986093768278244
categorical__id_31_chrome 61.0,0.0001661505627957162
numeric__V330,0.0001646663092781301
numeric__V326,0.00016227710624473808
numeric__V339,0.000160194392859217
numeric__V91,0.0001578795919936767
numeric__V110,0.00015591308619886433
categorical__DeviceInfo_LG-K371,0.0001554519871186697
numeric__V142,0.0001548555344876113
numeric__V4,0.0001457770918451247
